sex,age,plan,first_signup_date,last_active_date,churn,country
female,71,basic,2025-05-08,2025-10-30,1,USA
male,61,standard,2024-01-21,2024-08-15,1,USA
female,22,basic,2024-03-23,2024-09-05,1,USA
male,47,basic,2023-04-02,2023-08-23,1,USA
male,47,basic,2025-07-12,2025-11-15,0,USA
male,74,standard,2023-06-04,2025-09-11,1,USA
male,34,standard,2023-03-17,2024-12-09,1,USA
female,65,basic,2025-03-03,2025-11-14,0,USA
male,64,basic,2025-04-28,2025-11-09,0,USA
male,40,basic,2025-06-25,2025-11-15,0,USA
female,32,standard,2023-07-27,2024-06-02,1,USA
male,54,basic,2024-02-12,2025-02-12,1,USA
male,38,basic,2024-07-20,2025-06-18,1,USA
female,31,standard,2024-10-24,2025-04-10,1,USA
male,19,basic,2025-02-10,2025-11-08,1,USA
male,28,standard,2023-01-23,2025-11-28,0,USA
male,68,basic,2023-10-18,2024-04-11,1,USA
male,56,basic,2025-09-13,2025-11-15,0,USA
female,55,basic,2025-05-07,2025-11-18,0,USA
female,51,standard,2024-08-08,2025-11-26,0,USA
female,55,premium,2023-06-14,2025-03-06,1,USA
female,67,standard,2024-07-02,2025-11-15,0,USA
female,51,basic,2025-01-06,2025-06-06,1,USA
male,35,standard,2023-04-07,2024-09-22,1,USA
female,47,basic,2023-09-28,2024-05-22,1,USA
female,32,basic,2025-01-02,2025-11-21,0,USA
female,44,premium,2024-02-11,2025-11-27,0,USA
female,68,basic,2023-10-21,2024-03-25,1,USA
male,51,basic,2024-11-11,2025-01-11,1,USA
male,69,basic,2025-03-25,2025-05-11,1,USA
male,74,basic,2023-10-21,2024-07-01,1,USA
male,55,basic,2023-04-16,2023-10-22,1,USA
female,50,standard,2024-01-05,2025-07-07,1,USA
female,41,basic,2023-12-08,2024-11-12,1,USA
male,32,premium,2025-06-20,2025-11-26,0,USA
male,47,standard,2023-04-09,2023-09-09,1,USA
male,72,basic,2024-08-17,2024-12-01,1,USA
male,59,basic,2023-11-01,2025-09-28,1,USA
male,68,basic,2024-05-10,2024-11-14,1,USA
male,34,standard,2023-10-24,2025-04-30,1,USA
female,22,basic,2023-05-29,2025-01-30,1,USA
male,46,standard,2023-12-22,2025-06-02,1,USA
male,21,basic,2024-12-04,2025-11-26,0,USA
female,27,standard,2025-03-18,2025-11-17,0,USA
male,73,basic,2025-01-06,2025-11-28,0,USA
female,34,basic,2023-10-11,2024-02-02,1,USA
female,27,premium,2023-02-12,2023-07-12,1,USA
male,34,standard,2023-11-25,2025-06-21,1,USA
male,37,basic,2025-02-05,2025-11-26,0,USA
male,41,premium,2022-12-31,2025-08-20,1,USA
male,22,basic,2024-01-07,2024-03-29,1,USA
male,51,premium,2024-11-05,2025-10-03,1,USA
female,23,standard,2022-12-23,2025-11-06,1,USA
male,70,basic,2024-02-20,2024-08-23,1,USA
male,19,basic,2024-08-20,2025-11-14,0,USA
male,30,basic,2023-08-02,2025-05-07,1,USA
female,60,basic,2023-09-16,2024-08-19,1,USA
male,60,standard,2025-11-09,2025-11-17,0,USA
male,65,basic,2023-01-21,2023-11-23,1,USA
male,28,basic,2025-05-25,2025-11-09,1,USA
female,68,standard,2025-02-15,2025-11-14,0,USA
male,64,premium,2025-01-28,2025-11-20,0,USA
female,74,basic,2025-04-07,2025-11-10,0,USA
female,40,basic,2024-02-04,2024-04-29,1,USA
male,72,basic,2024-05-28,2025-11-21,0,USA
female,33,basic,2023-07-11,2024-05-03,1,USA
male,48,premium,2024-09-30,2024-12-27,1,USA
female,28,basic,2025-05-31,2025-07-02,1,USA
female,71,standard,2025-08-07,2025-11-10,0,USA
female,33,basic,2024-06-11,2025-09-23,1,USA
male,25,standard,2024-09-12,2025-11-22,0,USA
female,21,standard,2025-02-20,2025-06-24,1,USA
male,57,standard,2025-09-25,2025-11-13,1,USA
male,21,basic,2024-07-14,2025-06-25,1,USA
male,73,basic,2024-06-01,2025-03-05,1,USA
female,42,basic,2025-07-14,2025-11-17,0,USA
female,20,premium,2023-04-03,2025-11-27,0,USA
male,49,premium,2024-05-18,2025-11-27,0,USA
male,20,standard,2025-01-07,2025-11-20,0,USA
male,44,standard,2024-06-16,2025-11-28,0,USA
female,46,standard,2023-07-03,2024-05-08,1,USA
male,49,basic,2023-08-25,2024-06-10,1,USA
female,67,premium,2024-07-06,2025-11-23,0,USA
male,68,basic,2025-04-24,2025-11-11,0,USA
female,36,basic,2024-09-04,2024-11-04,1,USA
male,38,basic,2023-12-09,2024-09-25,1,USA
male,22,basic,2023-03-21,2023-06-11,1,USA
male,35,basic,2023-09-17,2024-09-06,1,USA
female,45,standard,2022-12-25,2025-07-20,1,USA
female,59,basic,2022-12-19,2024-07-28,1,USA
male,39,standard,2025-05-06,2025-11-28,0,USA
female,38,basic,2024-02-12,2025-11-16,0,USA
female,23,basic,2025-09-11,2025-11-12,0,USA
female,18,basic,2025-05-28,2025-06-16,1,USA
female,22,basic,2024-02-02,2024-08-12,1,USA
male,58,standard,2025-05-20,2025-11-15,0,USA
male,29,basic,2023-04-24,2023-07-08,1,USA
female,43,standard,2025-08-06,2025-11-13,0,USA
female,63,basic,2025-05-08,2025-11-16,0,USA
female,51,standard,2024-08-05,2025-11-09,0,USA
male,66,premium,2025-09-10,2025-11-12,0,USA
male,31,standard,2024-01-05,2024-05-15,1,USA
female,43,basic,2024-12-13,2025-11-08,1,USA
female,62,basic,2023-09-20,2023-12-23,1,USA
female,44,basic,2024-11-28,2025-10-24,1,USA
female,26,standard,2023-05-29,2025-11-12,0,USA
female,43,basic,2024-03-18,2025-03-12,1,USA
male,74,basic,2023-11-23,2025-01-23,1,USA
male,64,standard,2024-04-25,2024-09-22,1,USA
female,74,basic,2023-01-03,2023-02-28,1,USA
female,39,standard,2025-05-05,2025-09-07,1,USA
male,64,basic,2024-06-05,2025-07-17,1,USA
male,73,basic,2023-08-01,2023-10-27,1,USA
female,47,standard,2025-04-10,2025-11-18,0,USA
male,60,basic,2024-11-09,2025-11-20,0,USA
male,65,standard,2024-05-10,2025-04-09,1,USA
female,34,basic,2024-10-30,2025-03-17,1,USA
female,43,basic,2023-07-03,2024-01-13,1,USA
female,53,standard,2025-04-22,2025-11-20,0,USA
male,18,standard,2025-04-03,2025-11-12,0,USA
female,25,standard,2023-06-27,2024-08-09,1,USA
male,66,basic,2025-01-12,2025-01-30,1,USA
male,52,standard,2025-11-13,2025-11-20,0,USA
female,69,basic,2025-08-24,2025-11-22,0,USA
female,32,basic,2024-05-09,2024-12-19,1,USA
female,64,premium,2023-01-17,2025-11-18,0,USA
female,73,basic,2024-11-26,2025-06-02,1,USA
female,39,premium,2023-01-04,2024-08-03,1,USA
male,31,basic,2023-12-17,2025-03-04,1,USA
male,43,basic,2025-06-07,2025-11-16,0,USA
male,45,basic,2025-04-01,2025-11-15,0,USA
male,40,premium,2023-03-24,2025-07-26,1,USA
female,31,standard,2024-11-11,2025-11-28,0,USA
male,41,standard,2024-11-01,2025-04-30,1,USA
female,19,standard,2025-04-01,2025-06-08,1,USA
female,62,standard,2023-09-29,2024-06-28,1,USA
female,43,standard,2023-01-25,2024-12-02,1,USA
male,31,basic,2023-01-10,2023-07-29,1,USA
female,73,basic,2022-12-06,2023-12-13,1,USA
male,68,basic,2024-07-21,2025-11-16,0,USA
male,24,premium,2025-02-18,2025-07-21,1,USA
female,20,premium,2023-10-05,2025-10-30,1,USA
male,64,basic,2025-01-22,2025-04-26,1,USA
male,40,standard,2025-10-02,2025-11-16,0,USA
female,63,premium,2023-08-19,2025-01-30,1,USA
male,60,basic,2023-08-10,2023-12-18,1,USA
female,64,standard,2023-08-23,2024-06-19,1,USA
female,62,premium,2024-04-03,2025-06-24,1,USA
female,35,basic,2023-11-17,2025-05-26,1,USA
male,55,standard,2025-04-17,2025-11-14,0,USA
male,52,basic,2025-05-30,2025-11-12,0,USA
female,68,premium,2025-09-30,2025-11-14,0,USA
male,32,premium,2024-01-06,2024-07-15,1,USA
female,42,premium,2025-06-06,2025-10-16,1,USA
female,72,basic,2025-07-18,2025-11-11,0,USA
female,54,premium,2024-11-06,2025-11-27,0,USA
male,45,standard,2023-03-09,2024-03-17,1,USA
male,27,basic,2024-08-07,2024-12-25,1,USA
female,56,standard,2025-09-01,2025-11-25,0,USA
male,74,basic,2023-11-04,2025-07-12,1,USA
male,34,standard,2023-05-15,2025-03-14,1,USA
female,56,basic,2023-04-09,2025-04-05,1,USA
female,39,basic,2024-11-10,2025-05-27,1,USA
female,43,basic,2025-06-23,2025-11-21,0,USA
female,61,standard,2024-05-14,2025-11-09,0,USA
male,42,basic,2024-11-28,2025-11-12,0,USA
female,34,standard,2024-08-28,2025-06-08,1,USA
female,30,basic,2023-07-26,2025-01-16,1,USA
male,37,basic,2023-02-16,2024-10-27,1,USA
male,42,basic,2023-04-28,2024-06-23,1,USA
female,21,standard,2024-06-07,2025-11-20,0,USA
female,27,basic,2025-03-21,2025-11-22,0,USA
female,20,standard,2023-09-03,2024-12-08,1,USA
female,58,premium,2024-01-21,2025-08-09,1,USA
male,62,standard,2022-12-31,2025-04-09,1,USA
male,35,basic,2023-03-29,2025-01-29,1,USA
female,64,basic,2023-01-24,2024-10-29,1,USA
female,53,premium,2023-07-11,2023-08-04,1,USA
female,64,basic,2023-12-03,2025-06-01,1,USA
female,39,premium,2025-08-04,2025-11-19,0,USA
male,51,basic,2024-12-31,2025-11-15,0,USA
male,64,premium,2023-05-22,2025-10-01,1,USA
female,25,standard,2024-12-23,2025-11-10,0,USA
female,57,premium,2024-11-20,2025-11-20,0,USA
female,66,basic,2025-07-21,2025-11-22,0,USA
female,61,standard,2024-06-14,2024-11-02,1,USA
female,36,basic,2023-01-01,2023-09-17,1,USA
male,59,basic,2024-07-31,2025-10-28,1,USA
male,58,standard,2023-04-21,2025-04-14,1,USA
male,54,premium,2025-03-01,2025-11-23,0,USA
female,23,premium,2023-07-20,2024-01-30,1,USA
male,69,standard,2023-08-21,2025-03-09,1,USA
male,43,basic,2023-01-01,2023-01-02,1,USA
female,51,basic,2025-01-13,2025-06-13,1,USA
male,73,standard,2024-09-17,2024-10-23,1,USA
female,62,basic,2023-09-11,2024-01-25,1,USA
male,23,basic,2025-01-26,2025-06-17,1,USA
male,54,basic,2024-07-21,2025-04-24,1,USA
female,74,basic,2023-08-14,2024-05-19,1,USA
male,50,basic,2025-02-05,2025-11-28,0,USA
male,70,basic,2025-10-16,2025-11-16,0,USA
female,39,basic,2023-01-14,2024-06-14,1,USA
female,38,basic,2023-12-30,2024-04-07,1,USA
male,23,premium,2023-08-25,2024-05-16,1,USA
female,23,basic,2024-10-02,2025-11-23,0,USA
male,72,basic,2025-04-04,2025-05-28,1,USA
male,65,standard,2024-06-07,2025-07-14,1,USA
female,21,basic,2023-04-13,2024-06-07,1,USA
female,47,premium,2025-06-20,2025-11-26,0,USA
female,28,standard,2024-11-15,2024-12-17,1,USA
female,47,basic,2023-11-07,2024-06-25,1,USA
female,48,basic,2024-01-26,2025-04-18,1,USA
male,41,premium,2024-11-27,2025-06-11,1,USA
male,72,premium,2024-05-13,2025-11-27,0,USA
female,26,basic,2024-03-25,2025-09-29,1,USA
male,72,standard,2024-07-27,2025-11-26,0,USA
male,20,basic,2024-07-15,2024-12-22,1,USA
male,68,premium,2025-04-20,2025-11-14,0,USA
male,48,basic,2024-03-07,2025-02-28,1,USA
female,57,premium,2022-12-21,2024-02-08,1,USA
female,54,standard,2023-07-24,2023-12-02,1,USA
female,53,standard,2024-06-03,2025-11-13,0,USA
male,41,basic,2025-07-29,2025-11-25,0,USA
male,48,basic,2024-10-23,2025-07-19,1,USA
male,23,basic,2025-07-04,2025-09-08,1,USA
male,19,basic,2023-05-17,2025-01-24,1,USA
female,37,basic,2024-04-30,2025-11-24,0,USA
female,45,standard,2023-12-31,2025-10-17,1,USA
female,28,basic,2023-01-30,2023-09-09,1,USA
male,21,basic,2024-12-22,2025-05-16,1,USA
female,32,premium,2023-08-14,2025-07-20,1,USA
female,23,premium,2025-04-25,2025-11-28,0,USA
female,71,premium,2023-03-25,2023-11-02,1,USA
female,66,premium,2023-12-28,2025-11-09,0,USA
male,47,basic,2024-11-01,2025-11-10,0,USA
male,73,basic,2025-07-18,2025-11-19,0,USA
male,55,standard,2024-12-07,2025-11-11,0,USA
female,68,standard,2025-05-19,2025-11-26,0,USA
male,74,basic,2022-12-23,2023-05-29,1,USA
male,19,standard,2025-05-12,2025-11-14,0,USA
male,32,basic,2025-10-19,2025-11-18,0,USA
male,28,basic,2025-05-23,2025-09-27,1,USA
female,25,basic,2024-04-03,2025-08-09,1,USA
female,43,standard,2024-01-14,2025-05-28,1,USA
male,68,standard,2023-12-09,2025-04-24,1,USA
male,62,basic,2025-11-12,2025-11-21,0,USA
male,61,premium,2024-02-08,2025-11-27,0,USA
male,22,basic,2025-03-31,2025-11-13,0,USA
male,23,basic,2025-09-27,2025-11-09,0,USA
male,43,premium,2023-08-08,2025-11-17,0,USA
male,71,premium,2024-03-22,2024-12-23,1,USA
female,21,premium,2024-04-30,2025-06-28,1,USA
female,36,standard,2023-12-25,2025-01-24,1,USA
male,37,standard,2023-11-14,2024-12-17,1,USA
male,50,standard,2023-12-15,2024-12-15,1,USA
female,37,basic,2024-04-13,2025-11-11,0,USA
male,66,basic,2025-03-29,2025-11-24,0,USA
female,29,basic,2023-10-31,2025-01-20,1,USA
female,64,basic,2023-05-28,2023-07-18,1,USA
male,18,standard,2024-10-17,2025-11-16,0,USA
male,43,basic,2025-11-15,2025-11-25,0,USA
female,31,basic,2023-01-18,2024-08-20,1,USA
male,55,basic,2023-12-27,2024-01-02,1,USA
female,54,standard,2025-06-02,2025-08-15,1,USA
female,28,basic,2025-03-02,2025-08-12,1,USA
female,53,premium,2023-12-30,2024-06-19,1,USA
male,30,basic,2023-11-26,2024-09-02,1,USA
female,60,basic,2024-05-12,2025-11-14,0,USA
male,20,standard,2025-01-15,2025-11-19,0,USA
female,50,standard,2025-06-07,2025-07-04,1,USA
female,23,basic,2025-11-04,2025-11-24,0,USA
male,67,standard,2024-10-26,2024-12-26,1,USA
female,73,standard,2024-09-11,2024-11-07,1,USA
female,27,basic,2024-07-25,2025-02-19,1,USA
male,22,premium,2023-07-26,2024-06-14,1,USA
male,40,standard,2023-10-21,2025-10-22,1,USA
male,27,standard,2024-06-22,2025-11-11,0,USA
male,61,premium,2025-05-25,2025-11-20,0,USA
male,19,premium,2024-12-03,2025-11-12,0,USA
female,30,standard,2023-05-09,2025-08-06,1,USA
male,57,standard,2025-06-29,2025-11-14,0,USA
male,19,standard,2024-07-25,2024-12-21,1,USA
female,37,standard,2024-01-08,2025-11-12,0,USA
male,18,standard,2025-06-08,2025-08-07,1,USA
female,54,standard,2024-10-20,2025-11-13,0,USA
male,26,basic,2023-04-06,2024-05-03,1,USA
male,34,premium,2023-12-24,2025-01-18,1,USA
female,26,premium,2024-09-04,2025-09-01,1,USA
female,28,basic,2023-10-27,2025-05-24,1,USA
female,32,standard,2024-12-22,2025-03-26,1,USA
female,41,basic,2024-02-29,2024-08-23,1,USA
female,55,basic,2024-03-06,2025-08-28,1,USA
male,72,standard,2024-08-11,2025-11-13,1,USA
male,52,basic,2025-11-07,2025-11-10,0,USA
female,47,standard,2025-04-03,2025-11-26,0,USA
female,48,standard,2025-06-06,2025-11-19,0,USA
female,66,basic,2023-07-24,2025-05-08,1,USA
male,22,basic,2025-03-24,2025-11-16,0,USA
male,61,basic,2025-08-16,2025-11-10,0,USA
female,67,standard,2024-03-23,2025-05-07,1,USA
male,31,premium,2025-05-17,2025-11-15,0,USA
female,70,standard,2023-09-05,2024-01-31,1,USA
female,73,basic,2025-09-28,2025-11-17,0,USA
male,28,standard,2024-09-15,2025-03-19,1,USA
female,26,basic,2024-04-14,2024-12-13,1,USA
female,51,standard,2023-12-03,2024-09-08,1,USA
male,29,basic,2025-04-16,2025-11-10,0,USA
female,52,standard,2024-12-22,2025-11-28,0,USA
male,52,basic,2024-06-12,2024-11-11,1,USA
female,18,premium,2023-02-25,2023-04-09,1,USA
male,57,basic,2025-03-05,2025-11-14,0,USA
female,39,standard,2024-11-07,2025-11-06,1,USA
male,46,premium,2025-04-26,2025-09-06,1,USA
male,25,basic,2024-07-05,2025-11-08,1,USA
female,28,premium,2025-02-25,2025-11-10,0,USA
male,58,standard,2025-05-17,2025-11-12,0,USA
male,54,basic,2025-07-02,2025-11-26,0,USA
female,31,basic,2023-06-22,2024-03-21,1,USA
female,47,standard,2023-06-21,2024-09-22,1,USA
female,52,basic,2023-03-06,2024-10-15,1,USA
female,38,standard,2025-03-21,2025-11-24,0,USA
male,54,basic,2024-06-22,2025-08-24,1,USA
male,22,standard,2024-09-22,2025-04-24,1,USA
male,36,basic,2025-06-14,2025-11-24,0,USA
female,31,premium,2025-01-04,2025-11-12,0,USA
female,43,premium,2024-09-03,2025-03-17,1,USA
female,21,premium,2024-09-15,2025-11-25,0,USA
female,42,standard,2023-11-06,2024-05-20,1,USA
male,62,basic,2025-01-27,2025-05-04,1,USA
male,59,standard,2023-11-12,2025-11-18,0,USA
male,42,basic,2023-01-04,2023-11-13,1,USA
female,35,basic,2025-03-11,2025-11-14,0,USA
male,57,basic,2025-07-02,2025-11-17,0,USA
female,25,basic,2024-06-19,2025-11-18,0,USA
male,56,standard,2023-05-11,2023-09-14,1,USA
male,57,standard,2023-12-14,2024-10-23,1,USA
male,31,basic,2025-07-29,2025-11-12,0,USA
female,49,basic,2023-08-15,2025-03-28,1,USA
female,68,premium,2025-11-24,2025-11-25,0,USA
male,55,basic,2024-01-15,2024-09-08,1,USA
male,50,basic,2023-09-11,2025-08-27,1,USA
female,40,basic,2023-08-01,2024-08-13,1,USA
male,32,standard,2025-01-23,2025-11-12,0,USA
female,50,standard,2023-05-16,2025-03-17,1,USA
female,42,basic,2023-10-03,2023-10-16,1,USA
male,34,basic,2024-04-26,2024-08-07,1,USA
male,50,standard,2024-03-13,2025-10-01,1,USA
female,64,standard,2023-09-02,2024-02-10,1,USA
male,72,basic,2025-01-26,2025-07-25,1,USA
male,19,premium,2025-03-19,2025-11-23,0,USA
female,31,basic,2024-12-08,2025-11-25,0,USA
female,70,basic,2025-09-02,2025-11-23,0,USA
female,57,premium,2025-07-09,2025-11-18,0,USA
female,57,basic,2023-03-08,2024-03-31,1,USA
male,68,standard,2023-07-04,2023-10-15,1,USA
male,56,basic,2024-05-22,2025-01-19,1,USA
female,68,basic,2023-12-27,2024-07-11,1,USA
female,23,premium,2024-06-10,2025-08-05,1,USA
male,23,basic,2023-11-08,2025-06-29,1,USA
female,20,premium,2023-07-31,2024-09-05,1,USA
male,24,basic,2025-07-03,2025-11-15,0,USA
male,68,basic,2025-07-18,2025-11-11,0,USA
male,25,basic,2023-08-10,2023-10-26,1,USA
male,59,standard,2024-09-22,2025-09-26,1,USA
male,69,basic,2025-07-05,2025-11-14,0,USA
male,32,premium,2023-12-03,2024-07-31,1,USA
male,64,basic,2024-12-11,2025-03-11,1,USA
female,46,premium,2024-12-22,2025-11-16,0,USA
female,50,basic,2024-02-07,2025-08-25,1,USA
female,69,premium,2025-10-15,2025-11-13,0,USA
female,47,standard,2023-08-08,2024-05-11,1,USA
male,56,standard,2023-02-21,2024-08-27,1,USA
male,44,standard,2024-07-21,2025-01-17,1,USA
female,53,standard,2024-07-09,2025-11-16,0,USA
male,46,standard,2025-07-18,2025-11-12,0,USA
female,55,basic,2025-09-13,2025-11-12,0,USA
male,74,basic,2023-04-18,2024-04-28,1,USA
female,50,premium,2024-09-17,2025-04-29,1,USA
male,54,standard,2025-10-12,2025-11-21,0,USA
female,44,standard,2023-05-20,2024-03-20,1,USA
female,72,basic,2023-09-02,2025-10-14,1,USA
female,50,basic,2025-07-10,2025-11-26,0,USA
male,21,basic,2024-07-12,2025-06-30,1,USA
female,39,standard,2024-02-12,2025-07-01,1,USA
female,19,basic,2025-10-11,2025-11-13,1,USA
female,27,basic,2025-05-10,2025-11-15,0,USA
female,22,basic,2025-08-25,2025-11-13,0,USA
female,27,basic,2025-07-03,2025-11-11,0,USA
male,50,standard,2024-04-07,2025-01-08,1,USA
female,71,basic,2023-04-02,2024-12-06,1,USA
female,55,standard,2023-07-27,2025-11-19,0,USA
female,30,basic,2024-09-26,2025-11-19,0,USA
male,48,basic,2024-11-05,2025-02-10,1,USA
male,64,basic,2023-07-14,2025-01-01,1,USA
female,53,basic,2023-05-08,2023-12-31,1,USA
female,62,basic,2023-04-23,2025-11-20,0,USA
male,41,basic,2025-02-23,2025-11-26,0,USA
female,69,standard,2024-08-29,2025-01-03,1,USA
male,73,basic,2024-03-05,2025-08-18,1,USA
male,32,standard,2023-10-01,2024-07-02,1,USA
male,46,premium,2023-01-29,2025-11-11,0,USA
male,25,standard,2023-06-06,2025-11-21,0,USA
female,22,basic,2025-07-30,2025-11-12,0,USA
male,46,basic,2024-02-02,2024-05-25,1,USA
female,64,basic,2024-08-10,2025-11-22,0,USA
female,21,basic,2024-11-03,2025-01-31,1,USA
