age,gender,salary,status,spending
55,Male,20542,Single,558.86
67,Male,45996,Married,568.99
53,Male,63156,Married,935.21
60,Male,93469,Single,766.62
31,Female,58600,Single,630.55
51,Female,90316,Single,672.1
55,Female,81208,Single,906.69
24,Male,23221,Married,709.59
39,Male,96951,Married,802.7
28,Female,58196,Married,636.63
22,Male,46954,Married,766.23
31,Male,100804,Single,777.39
35,Male,20941,Single,550.12
63,Male,84100,Married,790.26
38,Female,47018,Single,781.97
18,Male,71791,Married,719.39
63,Female,48110,Single,753.14
69,Female,86987,Married,1027.77
59,Female,62179,Single,868.85
28,Female,32410,Married,682.01
69,Male,60479,Married,721.41
31,Male,98547,Single,1007.0
64,Female,87033,Married,1049.24
58,Male,103366,Married,891.77
64,Male,95700,Single,1043.35
21,Male,71386,Married,484.72
48,Male,64852,Single,650.47
31,Female,32572,Single,606.64
50,Female,89692,Single,817.46
20,Male,49596,Married,626.44
33,Female,112621,Single,863.04
19,Female,36145,Single,430.21
43,Female,50598,Married,583.54
63,Male,42802,Married,917.18
60,Female,113204,Single,1064.2
30,Male,43555,Married,856.68
54,Female,25484,Single,631.32
65,Male,95298,Married,943.17
56,Female,56556,Married,614.4
28,Female,93529,Single,709.84
23,Female,39396,Single,558.72
49,Male,20341,Married,435.87
56,Male,66565,Married,755.89
30,Female,57931,Single,745.82
54,Female,99221,Married,948.5
45,Male,73811,Single,701.08
60,Female,99580,Single,995.39
69,Female,49717,Married,852.84
20,Female,82245,Married,677.12
58,Female,54670,Single,478.14
63,Male,118636,Married,1064.67
59,Male,106388,Married,904.6
62,Male,52062,Single,680.19
36,Male,94184,Married,751.36
33,Female,29539,Single,619.56
50,Male,99447,Single,874.19
31,Female,48515,Married,712.26
63,Male,36444,Single,721.19
25,Female,15090,Single,676.92
41,Male,114911,Married,1136.17
45,Male,63858,Single,743.33
20,Female,34469,Married,541.89
26,Male,70268,Single,535.78
60,Female,107455,Single,1066.89
50,Female,29306,Single,598.16
68,Male,53411,Married,690.69
40,Female,41824,Married,467.15
34,Male,110190,Married,1065.78
31,Male,56516,Married,553.66
59,Male,40921,Single,709.73
25,Male,35768,Single,558.16
49,Male,105508,Single,935.82
52,Male,32883,Single,590.97
24,Male,39194,Married,590.77
33,Male,32560,Married,618.12
25,Female,108901,Single,914.19
59,Male,57317,Married,863.03
53,Male,75312,Single,776.25
50,Male,47595,Married,724.72
55,Male,53215,Married,795.3
18,Male,100682,Single,795.68
25,Female,37379,Married,754.78
58,Female,48708,Single,996.31
63,Male,67557,Married,711.06
53,Male,88112,Single,650.3
65,Male,67204,Single,633.61
46,Male,29393,Single,619.13
63,Female,78048,Married,698.59
55,Male,115201,Single,800.28
20,Female,95484,Married,782.82
52,Male,111619,Married,950.32
33,Female,23050,Single,579.34
19,Male,24664,Married,411.08
68,Female,28641,Single,643.96
19,Female,23312,Single,467.96
32,Female,67898,Married,651.16
70,Female,110369,Single,1104.25
35,Female,44485,Single,627.98
44,Male,73146,Married,848.71
23,Female,106245,Married,1040.43
52,Male,59106,Married,591.15
29,Female,76506,Single,649.23
68,Male,107295,Married,808.05
70,Female,24653,Single,870.59
26,Female,72066,Single,778.37
42,Male,65972,Single,733.31
56,Female,18403,Married,586.75
38,Female,54477,Single,595.41
34,Male,64067,Married,585.48
69,Male,26240,Single,629.61
46,Male,28633,Single,612.91
27,Male,39131,Married,698.63
27,Female,47655,Married,832.16
19,Female,91199,Married,755.66
66,Female,26176,Married,779.72
21,Male,96226,Married,739.95
19,Female,22837,Married,585.54
28,Female,81405,Married,955.57
21,Male,110241,Single,695.46
62,Female,72233,Single,909.77
35,Male,79308,Married,761.0
36,Male,16151,Married,518.07
59,Female,26555,Single,840.45
42,Male,89347,Single,769.99
50,Female,93742,Single,980.29
51,Male,44904,Married,777.08
48,Male,37288,Single,647.85
22,Female,36870,Single,505.31
26,Female,31043,Single,511.33
68,Male,18674,Single,692.66
50,Male,38035,Single,625.09
38,Male,101443,Single,872.35
43,Male,74221,Married,1018.47
33,Female,58345,Single,537.98
37,Male,72304,Married,597.48
51,Female,25041,Single,750.3
66,Male,58065,Married,970.07
56,Male,18101,Single,407.93
38,Female,65949,Married,733.5
53,Male,69569,Single,705.96
30,Male,54534,Single,560.17
63,Male,54718,Married,851.36
46,Male,100453,Single,990.82
50,Female,96541,Married,1136.25
63,Female,94760,Single,781.24
53,Male,39588,Single,449.1
22,Male,74940,Married,769.41
25,Male,93721,Married,974.15
69,Female,58715,Married,985.63
59,Female,47884,Single,859.46
36,Male,65454,Married,706.14
21,Male,18823,Married,651.97
52,Female,16436,Single,505.37
36,Female,54364,Married,658.64
58,Female,77900,Single,961.59
35,Female,52098,Married,755.17
31,Male,18335,Married,625.27
44,Male,34703,Single,827.98
41,Male,58085,Married,916.95
69,Male,86290,Single,831.94
26,Male,110850,Married,984.06
40,Male,119292,Single,1068.4
31,Female,103695,Single,910.36
68,Male,91610,Single,1064.71
32,Male,57913,Married,614.3
53,Female,62469,Married,685.96
46,Male,17205,Married,562.95
27,Female,91379,Single,930.37
33,Male,66538,Single,674.26
70,Female,100585,Single,993.25
31,Female,84959,Single,678.03
47,Female,72372,Married,893.16
25,Female,27259,Single,520.98
18,Male,43954,Single,363.77
21,Male,74656,Married,539.46
68,Female,67660,Married,905.81
63,Female,65020,Married,717.64
57,Male,26224,Single,365.37
32,Female,40131,Married,483.08
68,Male,72903,Single,904.19
57,Female,29773,Married,685.85
50,Female,108998,Married,842.23
69,Female,51137,Married,790.61
18,Female,41264,Single,643.87
33,Female,47985,Married,594.21
45,Female,72860,Single,930.16
62,Female,23230,Married,794.15
26,Male,15366,Single,519.31
63,Male,24988,Single,804.64
25,Male,80505,Single,575.75
50,Female,83740,Single,858.69
43,Male,66022,Married,675.5
19,Male,119887,Married,882.2
40,Female,63173,Married,807.76
69,Male,92665,Single,770.36
34,Female,17876,Single,374.26
66,Female,22485,Single,821.77
32,Female,77240,Single,694.1
50,Female,34583,Single,620.65
67,Male,57946,Single,644.34
31,Female,42316,Married,627.93
60,Male,114120,Married,1171.94
43,Female,20865,Married,605.71
43,Male,22375,Married,619.84
24,Female,58111,Married,788.43
43,Female,77418,Married,1014.7
28,Male,49167,Married,567.04
54,Male,79651,Married,774.19
57,Male,16999,Married,614.9
45,Female,30693,Married,657.59
21,Female,97722,Married,818.37
42,Female,16355,Single,875.87
28,Female,75377,Married,867.89
26,Female,115380,Married,937.38
32,Male,94764,Married,880.92
42,Female,26998,Married,504.31
60,Male,34122,Single,529.3
37,Male,70979,Married,700.23
52,Male,29716,Single,732.06
31,Female,65483,Married,708.28
19,Female,84594,Single,860.17
45,Female,117378,Single,1064.32
55,Male,59497,Single,627.71
56,Male,110887,Married,923.09
66,Male,116780,Married,878.41
20,Female,33735,Single,582.37
33,Male,26150,Married,508.01
35,Male,46017,Single,710.8
42,Male,112278,Married,914.78
23,Male,112085,Single,860.57
69,Female,119442,Single,1031.42
45,Female,113507,Single,930.61
43,Female,96452,Single,1116.31
56,Male,73998,Married,703.0
20,Female,48115,Married,653.4
47,Male,92934,Married,834.79
70,Female,104037,Married,1204.03
31,Female,81101,Single,680.75
48,Male,69835,Single,856.57
32,Male,32363,Single,963.7
26,Female,68350,Single,885.55
54,Female,33018,Married,645.52
33,Female,50139,Married,652.84
64,Female,90260,Single,1000.76
45,Female,21350,Single,514.5
41,Female,93045,Single,873.39
18,Male,106717,Married,843.99
47,Female,106493,Married,1038.27
27,Female,49927,Married,768.41
25,Male,115381,Single,683.35
58,Female,33695,Single,367.69
41,Female,112374,Married,981.08
27,Female,43298,Married,457.28
40,Male,113943,Single,853.98
37,Female,103699,Married,815.49
62,Male,27831,Single,766.04
52,Male,61584,Married,738.36
38,Male,41399,Single,374.78
43,Female,100958,Married,875.91
34,Male,92232,Single,762.54
53,Female,32915,Married,590.48
61,Male,45096,Married,766.26
28,Female,85697,Single,802.31
36,Male,68950,Married,739.81
32,Male,90380,Married,713.68
43,Male,114114,Married,938.19
36,Female,76488,Single,954.66
35,Female,22971,Married,594.14
56,Male,83924,Single,977.33
18,Male,30985,Single,287.47
23,Female,53284,Married,562.84
40,Male,73005,Married,827.22
23,Female,106128,Married,1042.26
50,Female,89160,Married,943.94
27,Male,90894,Single,534.61
36,Female,86231,Single,733.27
34,Male,17610,Single,682.46
30,Male,91486,Single,931.36
41,Female,41703,Single,594.5
65,Male,36059,Married,561.67
64,Male,89044,Single,786.8
48,Male,19188,Single,515.79
46,Female,18004,Single,682.89
19,Male,94654,Married,824.27
40,Male,18800,Married,578.29
68,Female,40569,Married,763.81
38,Male,33380,Married,677.0
37,Male,44534,Married,538.92
44,Male,110524,Single,1013.7
69,Male,74731,Married,795.89
25,Female,115331,Single,743.48
28,Female,99903,Married,1043.38
59,Female,60334,Married,745.99
24,Female,20483,Single,627.06
29,Male,58217,Single,575.1
27,Female,73136,Married,565.49
29,Male,72824,Single,871.15
40,Male,56547,Married,770.87
31,Male,63547,Married,680.69
24,Male,33026,Single,571.42
65,Female,103381,Married,711.97
51,Female,29373,Married,643.15
61,Male,21222,Single,744.65
45,Male,56868,Married,808.57
48,Female,110611,Married,1228.31
62,Male,43799,Single,602.52
30,Male,119556,Married,887.4
37,Male,45046,Single,782.04
19,Female,25771,Single,690.27
55,Female,74895,Married,905.19
43,Male,118111,Married,958.48
49,Female,34625,Single,550.48
60,Male,99883,Single,998.13
41,Male,116694,Single,984.41
46,Female,45704,Single,559.97
45,Female,111349,Married,918.67
60,Female,82907,Single,1080.07
50,Female,71135,Married,957.04
41,Male,119863,Single,851.48
38,Male,91243,Married,982.98
38,Female,77120,Married,780.61
50,Female,90235,Married,995.54
52,Female,42049,Single,464.73
19,Female,106810,Single,716.75
45,Male,109995,Married,1095.35
60,Male,36664,Married,638.72
53,Male,76769,Married,613.53
35,Female,103606,Married,949.11
39,Female,56284,Single,591.75
51,Male,60793,Single,728.01
47,Male,76131,Married,798.39
55,Male,102586,Single,839.94
55,Male,91930,Single,782.53
35,Female,89104,Single,743.83
40,Female,43513,Married,772.78
57,Male,80370,Single,731.8
61,Male,92238,Married,1054.06
68,Male,51179,Single,677.94
58,Female,19319,Married,715.54
44,Female,60562,Single,786.8
18,Male,89217,Single,607.71
24,Male,74748,Single,810.34
38,Male,15074,Married,387.73
18,Male,103128,Single,959.46
33,Male,100398,Married,868.99
28,Male,77485,Single,766.67
58,Female,91478,Married,870.15
25,Male,110483,Married,759.57
66,Female,60911,Single,729.38
50,Female,27182,Married,712.6
69,Male,116473,Married,879.29
32,Female,61804,Married,896.19
30,Female,101686,Married,1071.66
50,Male,20518,Married,691.23
18,Male,41023,Single,434.31
46,Female,16908,Married,807.58
39,Female,65006,Married,906.79
30,Male,101331,Single,806.87
51,Male,65823,Married,965.13
69,Female,79324,Married,1056.18
21,Male,25076,Single,582.56
40,Male,40460,Married,665.54
50,Female,85404,Single,972.45
18,Male,75751,Married,556.76
53,Male,74595,Married,811.51
60,Male,28504,Single,498.17
33,Female,73706,Married,782.29
66,Female,17511,Married,704.6
61,Female,68966,Married,605.81
70,Male,96016,Married,1006.99
38,Male,98758,Single,760.01
19,Male,26559,Married,552.39
46,Female,68087,Single,811.14
36,Male,76268,Married,981.52
50,Female,101063,Married,863.55
35,Male,46830,Married,797.32
58,Female,92101,Single,864.6
38,Female,112934,Single,1064.43
57,Male,46904,Married,714.19
25,Female,58716,Single,511.09
21,Male,104004,Married,860.35
48,Male,52568,Married,652.05
19,Male,115884,Married,934.32
20,Female,17613,Married,479.17
55,Female,30065,Married,722.08
25,Male,100401,Single,717.08
20,Male,17813,Single,604.68
61,Female,60087,Single,885.98
42,Female,33072,Single,690.29
52,Male,78298,Married,906.83
49,Male,22123,Married,360.06
50,Male,63083,Married,941.44
50,Female,108318,Married,1028.68
67,Female,74792,Married,1055.94
38,Male,97452,Single,870.03
47,Female,89407,Single,779.04
21,Female,53906,Single,458.72
29,Male,24029,Single,544.5
44,Male,115339,Single,846.62
43,Female,86590,Married,788.85
40,Female,30945,Single,501.79
49,Male,77681,Married,595.85
58,Male,89085,Single,1017.72
47,Male,28859,Married,727.36
25,Male,44094,Single,442.0
54,Female,118490,Married,928.96
36,Female,31102,Single,751.94
21,Male,88140,Single,698.86
26,Male,96340,Single,1062.73
19,Male,83328,Single,858.58
63,Male,32535,Married,767.05
25,Male,104975,Married,820.34
58,Male,58204,Married,850.12
22,Female,85378,Married,738.4
59,Male,34618,Married,464.19
34,Female,60618,Married,843.52
64,Female,108250,Married,1230.54
34,Female,42951,Married,752.47
20,Male,116702,Married,904.92
19,Female,49552,Single,615.98
25,Female,21872,Single,909.99
37,Male,28630,Married,587.65
64,Male,19169,Married,912.93
34,Female,82676,Single,732.83
69,Female,79333,Married,1083.0
36,Female,15668,Married,475.15
48,Female,86800,Single,853.27
67,Female,70002,Married,850.72
20,Female,61259,Married,732.95
29,Female,44207,Single,649.09
50,Female,68253,Single,872.95
68,Female,36673,Married,673.61
24,Female,84911,Married,709.12
24,Female,73469,Single,893.81
51,Female,114944,Married,1043.9
30,Male,16563,Married,554.1
59,Male,103109,Married,990.7
64,Male,82593,Single,882.05
39,Female,48098,Single,564.73
53,Male,26539,Married,731.06
59,Male,104275,Married,1174.48
64,Female,46612,Single,824.47
45,Female,91415,Married,789.43
46,Male,103857,Married,904.45
40,Male,57060,Single,795.11
46,Male,88760,Married,885.25
43,Male,36840,Married,777.62
42,Male,90465,Married,1068.74
36,Male,109353,Married,1000.09
26,Male,112262,Married,939.65
47,Male,33006,Single,582.28
68,Male,77554,Married,689.53
52,Female,41773,Single,569.25
24,Female,90859,Married,943.75
22,Male,39183,Married,724.8
64,Male,92030,Married,797.41
65,Female,96153,Single,976.83
23,Female,55352,Married,552.59
44,Female,115884,Single,659.98
23,Male,57854,Married,791.7
70,Female,20476,Married,603.87
47,Female,65986,Married,744.0
44,Male,60041,Married,803.45
66,Female,33795,Single,735.97
65,Male,48973,Married,812.87
59,Male,37104,Single,616.67
23,Male,40370,Single,457.48
30,Female,99164,Married,903.06
38,Male,53069,Married,755.37
46,Female,82433,Married,880.65
64,Male,54041,Married,891.93
42,Male,92995,Married,856.76
33,Male,101105,Single,989.56
43,Female,86546,Married,1008.2
46,Female,57756,Single,703.91
21,Male,107787,Single,939.15
27,Male,55252,Married,512.34
41,Female,44675,Married,681.46
38,Female,103215,Married,1081.05
35,Male,54117,Married,654.39
21,Male,39085,Married,422.68
35,Female,92186,Single,955.3
37,Female,104333,Married,796.12
40,Female,56615,Married,961.14
25,Female,60674,Married,517.33
60,Female,86595,Married,1097.5
68,Female,109794,Single,914.04
31,Female,73821,Single,964.47
43,Male,85082,Single,879.78
37,Male,16816,Married,594.34
43,Female,18907,Married,562.03
18,Female,105983,Married,1103.66
43,Female,66273,Single,887.81
62,Male,52484,Married,922.59
70,Male,46208,Married,724.67
58,Male,70016,Single,892.52
68,Male,75737,Single,615.52
28,Male,87098,Single,714.89
36,Male,22002,Single,378.48
63,Female,58615,Single,931.69
69,Female,32299,Married,635.57
33,Female,97936,Married,1014.13
24,Female,86149,Single,1006.88
21,Female,82284,Single,792.05
22,Male,113875,Single,804.2
42,Male,65054,Married,914.0
64,Female,99775,Married,979.33
55,Female,93265,Married,929.58
33,Female,95140,Single,624.78
68,Male,18306,Married,545.4
29,Male,58011,Married,686.29
58,Female,64909,Single,760.71
54,Male,62152,Married,798.59
46,Female,80600,Married,1033.87
51,Female,115710,Married,1010.77
27,Male,76492,Single,706.04
61,Male,46011,Single,791.0
41,Female,55365,Single,699.46
39,Female,82955,Single,788.22
34,Female,51647,Married,755.06
68,Male,70859,Married,863.84
47,Female,109147,Single,1189.72
34,Male,69537,Single,861.55
66,Female,105457,Married,1016.72
68,Male,79567,Married,866.08
59,Female,56922,Married,911.16
23,Female,57628,Married,807.16
56,Female,116917,Single,985.38
44,Female,72475,Single,679.61
45,Male,37943,Single,677.59
64,Female,43798,Single,792.28
53,Male,118167,Single,1050.98
29,Male,99157,Married,702.01
20,Male,48850,Married,784.52
68,Male,96230,Single,1146.95
39,Female,86363,Married,660.73
21,Male,80710,Single,880.75
36,Female,113344,Single,824.74
51,Male,40284,Married,882.41
30,Male,77192,Single,624.61
70,Male,45973,Single,858.27
28,Male,51762,Single,714.12
27,Male,42453,Single,599.41
34,Female,60525,Single,858.66
58,Male,117776,Single,1169.9
69,Male,60149,Married,770.01
43,Female,104476,Single,945.79
33,Male,113149,Married,829.86
28,Male,106746,Married,762.66
49,Male,21885,Single,498.76
66,Male,60151,Single,817.02
47,Male,29456,Single,454.17
70,Female,102783,Single,970.36
49,Female,41020,Married,652.35
54,Female,57833,Married,658.63
29,Female,117471,Single,979.3
25,Female,77266,Single,592.65
26,Female,70257,Single,619.57
59,Female,69098,Single,892.67
25,Male,115129,Single,780.48
62,Female,98860,Married,814.55
18,Male,63957,Single,545.58
43,Male,45336,Married,682.93
43,Female,28175,Single,654.97
42,Male,65369,Single,594.1
44,Female,106953,Single,922.73
23,Female,112122,Married,626.92
26,Female,96762,Single,856.66
30,Female,100422,Single,788.33
56,Male,83660,Single,951.95
34,Female,23197,Single,464.93
22,Female,20137,Single,362.69
29,Female,56577,Married,521.53
28,Male,101392,Single,791.09
62,Male,53804,Single,828.78
45,Male,96540,Married,826.32
52,Male,88736,Married,929.27
61,Male,64465,Single,680.51
38,Male,37715,Married,391.51
45,Female,80747,Single,826.23
65,Male,92621,Single,774.98
41,Male,68164,Married,768.42
41,Female,84435,Single,927.83
24,Male,28036,Single,579.94
55,Male,62510,Married,864.18
64,Female,29260,Single,612.86
25,Female,54347,Married,644.49
62,Female,50604,Married,831.64
45,Female,105447,Single,586.41
55,Female,60047,Married,953.03
28,Male,98543,Single,846.93
18,Male,18090,Married,541.68
45,Male,30605,Married,609.45
66,Male,35872,Married,764.47
62,Male,55923,Married,830.04
60,Male,101217,Single,841.64
50,Male,57284,Single,843.22
27,Male,19584,Single,394.88
43,Male,79622,Married,904.2
27,Male,46590,Single,582.08
35,Male,70846,Single,628.3
52,Male,16145,Married,452.11
65,Male,114533,Single,982.98
18,Female,117436,Single,768.63
52,Male,41035,Married,758.59
68,Male,109956,Married,1087.32
67,Female,69907,Single,828.54
48,Female,101905,Married,896.78
45,Female,52263,Single,820.81
45,Male,104456,Single,868.82
37,Female,90360,Married,827.0
67,Male,75774,Married,978.2
20,Female,23440,Single,540.11
53,Male,42904,Married,722.18
60,Male,54872,Married,1007.09
52,Female,19052,Married,706.55
19,Male,77627,Single,597.62
43,Female,41996,Single,608.87
46,Female,59146,Married,688.53
24,Male,115402,Married,749.3
60,Male,95817,Married,971.01
67,Female,90545,Single,1011.39
46,Male,87696,Single,851.0
67,Female,76532,Married,1007.96
21,Female,91629,Married,963.35
47,Female,64129,Single,502.49
57,Female,91648,Single,877.56
64,Female,16169,Single,755.43
56,Male,64828,Single,738.13
31,Male,93383,Single,637.36
69,Female,90488,Single,978.93
57,Female,17575,Married,564.63
59,Male,79159,Single,815.91
20,Female,31398,Married,469.65
70,Male,32815,Single,514.95
35,Male,71617,Married,894.75
24,Female,64335,Married,824.18
62,Female,94931,Single,790.9
32,Female,21987,Single,648.28
50,Female,50197,Single,514.35
19,Female,54971,Married,734.64
52,Female,75344,Single,905.14
44,Male,85722,Single,831.89
53,Female,51225,Married,835.02
26,Female,87871,Single,820.43
67,Female,71520,Married,819.15
25,Female,109098,Married,1041.64
65,Female,118897,Single,983.54
23,Female,69757,Single,623.99
69,Female,76307,Single,837.3
45,Male,50899,Married,649.17
44,Male,81978,Single,818.93
57,Male,99733,Married,919.99
29,Male,71722,Single,738.94
28,Male,55933,Single,755.95
21,Male,17596,Single,541.86
61,Female,43225,Single,707.79
61,Female,20065,Married,758.92
18,Female,119168,Married,1079.57
63,Male,92649,Married,1020.5
30,Female,69545,Single,648.87
57,Male,105200,Married,977.81
65,Female,24919,Married,855.04
57,Female,100148,Married,988.72
49,Female,75191,Married,759.61
36,Female,116883,Married,1102.62
35,Female,28893,Single,616.41
22,Female,84490,Married,957.91
27,Male,81790,Single,539.3
56,Female,98013,Married,1241.67
57,Male,50787,Married,977.44
63,Female,30321,Married,769.88
23,Male,57062,Married,591.37
63,Female,78216,Married,1015.03
20,Female,113576,Single,968.05
69,Male,65094,Single,845.99
29,Female,50134,Married,669.07
31,Male,65017,Single,809.93
56,Female,26766,Married,505.63
27,Female,36310,Married,716.15
54,Female,91170,Married,1199.19
51,Male,65014,Married,763.99
59,Female,62612,Married,810.87
63,Male,88615,Single,903.57
25,Female,113473,Single,875.94
40,Male,28427,Single,530.21
44,Female,85341,Married,978.61
38,Male,81521,Single,800.36
50,Male,53312,Single,734.86
52,Male,36842,Single,586.46
51,Male,105124,Married,977.6
47,Female,59689,Single,849.12
68,Male,91880,Married,1106.05
21,Female,22508,Single,442.92
26,Male,28753,Single,479.9
67,Male,100219,Married,1087.79
59,Female,63379,Married,607.35
35,Female,74911,Married,701.14
31,Female,31366,Married,625.94
20,Male,95773,Single,935.22
39,Male,114180,Married,858.13
51,Male,19946,Married,668.15
62,Female,105177,Single,931.32
33,Female,116980,Married,1192.01
21,Male,119124,Married,740.18
42,Male,89015,Single,804.25
41,Male,111249,Single,820.69
57,Male,76391,Married,1118.5
62,Male,29627,Single,774.2
27,Male,44118,Married,820.46
60,Male,30897,Married,346.07
35,Female,28005,Single,541.1
70,Female,55934,Single,629.05
66,Male,80612,Married,919.28
39,Male,42109,Married,687.72
59,Male,100214,Married,866.11
22,Female,33779,Single,616.0
61,Female,60531,Married,825.3
22,Male,79899,Single,742.55
20,Female,57320,Married,488.0
58,Female,112878,Married,1086.51
45,Female,109041,Single,964.72
38,Female,100568,Married,924.35
49,Male,69773,Married,732.66
64,Female,41381,Single,682.14
47,Male,62049,Married,731.55
67,Female,19185,Married,728.26
37,Male,16758,Married,546.44
48,Male,22877,Single,491.29
51,Male,76993,Single,764.73
66,Female,79658,Single,1045.2
18,Male,103692,Single,763.62
58,Male,107831,Married,1072.63
62,Male,97139,Married,852.73
20,Female,40125,Single,411.66
30,Female,58369,Married,764.41
24,Male,65999,Single,708.14
33,Male,100161,Single,948.82
28,Male,25968,Married,599.32
20,Female,99860,Married,771.57
18,Female,34545,Single,457.11
55,Male,77489,Single,803.9
62,Male,36104,Married,614.8
67,Male,71199,Single,867.0
35,Female,115617,Married,910.32
59,Male,56771,Single,898.64
49,Female,50068,Single,716.35
50,Male,76085,Married,729.65
40,Female,102316,Married,857.02
68,Male,66249,Single,938.59
69,Male,84148,Single,619.52
58,Female,63235,Married,637.19
50,Female,38533,Single,624.39
19,Male,69015,Married,689.76
43,Male,46723,Married,814.54
36,Female,93158,Married,846.91
64,Female,35494,Married,874.67
24,Female,24474,Married,704.47
39,Female,105977,Married,951.47
39,Male,26146,Single,381.65
52,Male,27511,Single,582.81
19,Female,80473,Single,499.4
26,Male,117522,Single,848.83
65,Male,23637,Single,637.64
49,Male,82532,Married,694.69
32,Male,89371,Married,950.81
28,Male,114189,Married,982.51
30,Female,61560,Married,878.27
43,Female,32798,Single,627.63
69,Male,111592,Married,1108.8
52,Male,51181,Single,782.77
34,Female,65692,Single,464.81
55,Male,95287,Single,938.29
27,Male,78708,Single,627.97
55,Female,84664,Single,962.73
49,Female,114106,Single,1033.71
51,Male,101180,Single,830.33
31,Female,79971,Single,732.74
66,Male,107824,Single,1081.71
24,Female,95836,Single,597.76
18,Male,46141,Single,585.39
58,Female,48669,Single,776.8
42,Female,29166,Single,362.65
23,Male,34032,Single,488.37
43,Male,49587,Single,801.26
63,Male,24718,Married,947.51
65,Male,101668,Single,825.78
37,Female,85339,Single,885.77
27,Male,73415,Married,749.33
43,Male,82418,Married,942.63
63,Male,99956,Single,901.47
40,Female,75511,Single,756.18
41,Male,92887,Single,907.67
68,Male,86001,Single,917.68
60,Male,107456,Married,852.36
63,Male,39739,Single,393.08
45,Male,76929,Single,707.21
33,Female,75420,Married,641.68
38,Female,53228,Single,785.64
51,Male,70281,Married,588.84
50,Male,64604,Married,802.21
33,Female,66756,Married,988.95
61,Male,44903,Married,518.36
22,Female,119690,Married,978.36
29,Female,36262,Married,731.76
33,Male,105845,Married,760.48
54,Male,119995,Single,982.1
21,Female,85879,Married,772.79
34,Female,67976,Married,773.22
23,Female,36572,Married,887.85
62,Male,70494,Married,762.0
35,Female,92460,Single,903.72
56,Male,96404,Married,944.59
27,Male,109764,Single,779.75
37,Male,67160,Married,682.24
37,Male,21288,Single,654.72
67,Male,89504,Single,992.86
41,Male,27376,Single,628.54
34,Female,110842,Single,753.72
33,Male,86721,Single,707.98
46,Male,67573,Married,515.43
51,Male,87131,Married,1162.67
48,Male,84144,Married,763.84
33,Female,37884,Married,819.2
66,Female,29132,Single,783.84
37,Female,62207,Single,740.19
48,Male,31187,Married,560.76
47,Female,99208,Single,873.4
57,Female,93626,Single,952.07
52,Female,24794,Married,828.06
52,Female,87776,Single,810.25
36,Male,53866,Single,693.48
51,Female,79662,Single,809.59
62,Female,32212,Married,633.49
55,Female,17278,Single,559.92
18,Female,97008,Single,969.87
36,Female,110102,Single,1054.12
38,Female,97173,Married,850.22
27,Male,65428,Married,825.43
18,Male,15371,Single,566.6
63,Female,96594,Married,1006.52
62,Female,87077,Single,743.3
57,Female,68332,Single,933.49
67,Male,97811,Married,982.4
62,Female,50183,Married,893.64
25,Female,79197,Single,643.24
19,Female,58755,Single,686.49
53,Female,115593,Married,903.18
